Type;Small;Medium;Large;Medium gallon;Large gallon
Apple; 5.00 ; 8.00 ; 10.00 ; 15.00 ; 25.00
Avocado; 7.00 ; 10.00 ; 14.00 ; 20.00 ; 25.00
Banana; 3.00 ; 7.00 ; 9.00 ; 10.00 ; 20.00
Beet; 3.00 ; 7.00 ; 9.00 ; 10.00 ; 20.00
Blueberry; 3.00 ; 7.00 ; 9.00 ; 10.00 ; 20.00
Carrot; 3.00 ; 7.00 ; 9.00 ; 10.00 ; 20.00
Ginger; 3.00 ; 7.00 ; 9.00 ; 10.00 ; 20.00
Guava; 3.00 ; 7.00 ; 9.00 ; 10.00 ; 20.00
Kiwi; 3.00 ; 7.00 ; 9.00 ; 10.00 ; 20.00
Lemon; 3.00 ; 7.00 ; 9.00 ; 10.00 ; 20.00
Mango; 3.00 ; 7.00 ; 9.00 ; 10.00 ; 20.00
Melon; 3.00 ; 7.00 ; 9.00 ; 10.00 ; 20.00
Orange; 3.00 ; 7.00 ; 9.00 ; 10.00 ; 20.00
Orange mix; 3.00 ; 7.00 ; 9.00 ; 10.00 ; 20.00
Pineapple; 3.00 ; 7.00 ; 9.00 ; 10.00 ; 20.00
Pomegranate; 3.00 ; 7.00 ; 9.00 ; 10.00 ; 20.00
Strawberry; 3.00 ; 7.00 ; 9.00 ; 10.00 ; 20.00
Watermelon; 3.00 ; 7.00 ; 9.00 ; 10.00 ; 20.00
Avocado + mango; 5.00 ; 10.00 ; 14.00 ; 20.00 ; 45.00
Avocado + orange; 5.00 ; 10.00 ; 14.00 ; 20.00 ; 45.00
Avocado + pineapple; 5.00 ; 10.00 ; 14.00 ; 20.00 ; 45.00
Avocado + strawberry; 5.00 ; 10.00 ; 14.00 ; 20.00 ; 45.00
Beet + apple; 3.00 ; 7.00 ; 9.00 ; 17.00 ; 43.00
Beet + pomegranate; 3.00 ; 7.00 ; 9.00 ; 17.00 ; 43.00
Kiwi + pineapple; 3.00 ; 7.00 ; 9.00 ; 17.00 ; 43.00
Lemon + grape; 3.00 ; 7.00 ; 9.00 ; 17.00 ; 43.00
Lemon + kiwi; 3.00 ; 7.00 ; 9.00 ; 17.00 ; 43.00
Lemon + mint; 3.00 ; 7.00 ; 9.00 ; 17.00 ; 43.00
Lemon + pomegranate; 3.00 ; 7.00 ; 9.00 ; 17.00 ; 43.00
Mango + guava; 3.00 ; 7.00 ; 9.00 ; 17.00 ; 43.00
Orange + apple; 3.00 ; 7.00 ; 9.00 ; 17.00 ; 43.00
Orange + banana; 3.00 ; 7.00 ; 9.00 ; 17.00 ; 43.00
Orange + beet; 3.00 ; 7.00 ; 9.00 ; 17.00 ; 43.00
Orange + kiwi; 3.00 ; 7.00 ; 9.00 ; 17.00 ; 43.00
Orange + lemon; 3.00 ; 7.00 ; 9.00 ; 17.00 ; 43.00
Orange + pomegranate; 3.00 ; 7.00 ; 9.00 ; 17.00 ; 43.00
Orange mix + lemon; 3.00 ; 7.00 ; 9.00 ; 17.00 ; 43.00
Strawberry + banana; 3.00 ; 7.00 ; 9.00 ; 17.00 ; 43.00
Strawberry + mango; 3.00 ; 7.00 ; 9.00 ; 17.00 ; 43.00
Aoar qalb; 7.00 ; 8.00 ; 10.00 ; 17.00 ; 25.00
Asfahani; 5.00 ; 7.00 ; 9.00 ; 10.00 ; 20.00
Askindarani; 5.00 ; 7.00 ; 9.00 ; 10.00 ; 20.00
French juice; 5.00 ; 7.00 ; 9.00 ; 10.00 ; 20.00
Lolly cocktail; 5.00 ; 7.00 ; 9.00 ; 10.00 ; 20.00
Refreshing juice; 5.00 ; 7.00 ; 9.00 ; 10.00 ; 20.00
Romanbo; 7.00 ; 8.00 ; 10.00 ; 17.00 ; 25.00
Sultan; 5.00 ; 7.00 ; 9.00 ; 10.00 ; 20.00
Vitamins; 5.00 ; 7.00 ; 9.00 ; 10.00 ; 20.00
Fruit salad; 0.00 ; 8.00 ; 10.00 ; 10.00 ; 20.00
Ice cream; 3.00 ; 4.00 ; 5.00 ; 8.00 ; 10.00